impression_id,search_id,session_id,user_id,restaurant_id,position,clicked,restaurant_rating,is_promoted,has_photos
1,1,1,6362,159,1,True,4.0,True,True
2,1,1,6362,118,2,False,3.8,False,True
3,1,1,6362,268,3,False,3.6,True,True
4,1,1,6362,140,4,False,5.0,False,True
5,1,1,6362,280,5,False,4.0,True,True
6,1,1,6362,341,6,False,3.7,False,False
7,1,1,6362,435,7,False,3.9,False,True
8,1,1,6362,203,8,False,4.3,False,False
9,1,1,6362,494,9,False,4.8,False,False
10,2,4,7926,129,1,True,3.4,False,True
11,2,4,7926,385,2,False,3.0,True,True
12,2,4,7926,455,3,False,4.4,False,False
13,2,4,7926,387,4,False,4.1,False,False
14,2,4,7926,24,5,False,4.1,False,True
15,2,4,7926,124,6,False,4.0,False,True
16,3,5,4595,456,1,False,3.8,False,True
17,3,5,4595,396,2,True,3.8,False,True
18,3,5,4595,54,3,False,2.5,False,True
19,3,5,4595,374,4,False,2.8,False,True
20,3,5,4595,176,5,False,3.8,False,True
21,3,5,4595,460,6,False,4.5,False,True
22,3,5,4595,107,7,False,3.7,False,True
23,3,5,4595,55,8,False,3.7,False,False
24,3,5,4595,212,9,False,4.7,False,True
25,4,7,1431,477,1,True,5.0,False,True
26,4,7,1431,481,2,False,3.9,True,False
27,4,7,1431,115,3,False,4.0,False,True
28,4,7,1431,405,4,False,3.3,True,True
29,4,7,1431,334,5,False,4.7,True,False
30,5,8,1847,428,1,False,4.3,False,True
31,5,8,1847,144,2,False,4.3,True,False
32,5,8,1847,174,3,False,4.1,False,True
33,5,8,1847,309,4,False,3.0,False,True
34,5,8,1847,237,5,True,3.5,False,False
35,5,8,1847,416,6,False,3.7,False,True
36,6,9,1038,356,1,True,3.6,False,True
37,6,9,1038,15,2,False,4.5,False,False
38,6,9,1038,385,3,False,3.0,True,True
39,6,9,1038,18,4,False,2.9,False,False
40,6,9,1038,415,5,False,3.3,False,True
41,6,9,1038,162,6,False,4.6,False,True
42,6,9,1038,364,7,False,3.5,False,False
43,6,9,1038,377,8,False,3.6,True,True
44,7,10,79,75,1,True,3.9,False,True
45,7,10,79,177,2,False,3.3,False,True
46,7,10,79,239,3,False,4.0,False,True
47,7,10,79,208,4,False,4.4,False,True
48,7,10,79,421,5,False,4.1,True,True
49,7,10,79,110,6,False,5.0,False,False
50,7,10,79,38,7,False,4.3,False,False
51,8,11,1361,485,1,True,3.8,False,False
52,8,11,1361,37,2,False,3.7,False,True
53,8,11,1361,170,3,False,4.6,False,True
54,8,11,1361,11,4,False,3.6,False,True
