event_id,session_id,user_id,event_type,timestamp,user_segment,city,platform
1,1,6362,session_start,2026-07-26 03:01:00,New,Chennai,Android
2,1,6362,search,2026-07-26 03:01:39,New,Chennai,Android
3,1,6362,restaurant_click,2026-07-26 03:01:44,New,Chennai,Android
4,2,1603,session_start,2026-07-23 16:36:00,Power,Ahmedabad,Android
5,3,9442,session_start,2026-06-21 18:58:00,Returning,Chennai,iOS
6,4,7926,session_start,2026-07-21 18:45:00,Power,Delhi NCR,iOS
7,4,7926,search,2026-07-21 18:45:18,Power,Delhi NCR,iOS
8,4,7926,restaurant_click,2026-07-21 18:45:59,Power,Delhi NCR,iOS
9,4,7926,add_to_cart,2026-07-21 18:48:26,Power,Delhi NCR,iOS
10,4,7926,checkout_attempt,2026-07-21 18:51:08,Power,Delhi NCR,iOS
11,4,7926,order_placed,2026-07-21 18:53:27,Power,Delhi NCR,iOS
12,5,4595,session_start,2026-08-06 23:05:00,Power,Delhi NCR,Android
13,5,4595,search,2026-08-06 23:05:57,Power,Delhi NCR,Android
14,5,4595,restaurant_click,2026-08-06 23:06:42,Power,Delhi NCR,Android
15,5,4595,add_to_cart,2026-08-06 23:09:39,Power,Delhi NCR,Android
16,5,4595,checkout_attempt,2026-08-06 23:11:43,Power,Delhi NCR,Android
17,5,4595,order_placed,2026-08-06 23:13:06,Power,Delhi NCR,Android
18,6,8950,session_start,2026-06-21 22:11:00,Returning,Hyderabad,Android
19,7,1431,session_start,2026-07-08 08:16:00,Returning,Mumbai,Android
20,7,1431,search,2026-07-08 08:16:51,Returning,Mumbai,Android
21,7,1431,restaurant_click,2026-07-08 08:17:32,Returning,Mumbai,Android
22,7,1431,add_to_cart,2026-07-08 08:19:34,Returning,Mumbai,Android
23,7,1431,checkout_attempt,2026-07-08 08:22:47,Returning,Mumbai,Android
24,7,1431,payment_failed,2026-07-08 08:23:51,Returning,Mumbai,Android
25,8,1847,session_start,2026-03-25 06:16:00,Returning,Mumbai,Web
26,8,1847,search,2026-03-25 06:16:26,Returning,Mumbai,Web
27,8,1847,restaurant_click,2026-03-25 06:17:47,Returning,Mumbai,Web
28,8,1847,add_to_cart,2026-03-25 06:20:36,Returning,Mumbai,Web
29,8,1847,checkout_attempt,2026-03-25 06:21:20,Returning,Mumbai,Web
30,8,1847,order_placed,2026-03-25 06:23:39,Returning,Mumbai,Web
31,9,1038,session_start,2026-04-15 14:04:00,Returning,Delhi NCR,Android
32,9,1038,search,2026-04-15 14:04:50,Returning,Delhi NCR,Android
33,9,1038,restaurant_click,2026-04-15 14:04:50,Returning,Delhi NCR,Android
34,10,79,session_start,2026-05-03 23:31:00,Returning,Bangalore,Android
35,10,79,search,2026-05-03 23:31:16,Returning,Bangalore,Android
36,10,79,restaurant_click,2026-05-03 23:32:05,Returning,Bangalore,Android
37,10,79,add_to_cart,2026-05-03 23:33:04,Returning,Bangalore,Android
38,10,79,checkout_attempt,2026-05-03 23:36:16,Returning,Bangalore,Android
39,10,79,order_placed,2026-05-03 23:39:20,Returning,Bangalore,Android
40,11,1361,session_start,2026-07-22 11:45:00,Power,Jaipur,iOS
41,11,1361,search,2026-07-22 11:45:44,Power,Jaipur,iOS
42,11,1361,restaurant_click,2026-07-22 11:46:18,Power,Jaipur,iOS
43,12,9506,session_start,2026-05-12 21:23:00,Returning,Delhi NCR,Android
44,12,9506,search,2026-05-12 21:23:08,Returning,Delhi NCR,Android
45,12,9506,restaurant_click,2026-05-12 21:23:33,Returning,Delhi NCR,Android
46,13,37,session_start,2026-05-12 12:30:00,Returning,Bangalore,iOS
47,13,37,search,2026-05-12 12:30:42,Returning,Bangalore,iOS
48,13,37,restaurant_click,2026-05-12 12:31:42,Returning,Bangalore,iOS
49,13,37,add_to_cart,2026-05-12 12:34:55,Returning,Bangalore,iOS
50,13,37,checkout_attempt,2026-05-12 12:35:35,Returning,Bangalore,iOS
51,13,37,order_placed,2026-05-12 12:38:25,Returning,Bangalore,iOS
52,14,1306,session_start,2026-05-10 00:12:00,Returning,Lucknow,Android
53,14,1306,search,2026-05-10 00:12:08,Returning,Lucknow,Android
54,14,1306,restaurant_click,2026-05-10 00:12:59,Returning,Lucknow,Android
55,15,1150,session_start,2026-04-12 12:28:00,Returning,Bangalore,Web
56,15,1150,search,2026-04-12 12:28:52,Returning,Bangalore,Web
57,15,1150,restaurant_click,2026-04-12 12:28:34,Returning,Bangalore,Web
58,16,1019,session_start,2026-06-30 14:00:00,Returning,Mumbai,Android
59,17,8680,session_start,2026-07-29 22:30:00,Returning,Bangalore,Web
60,17,8680,search,2026-07-29 22:30:50,Returning,Bangalore,Web
61,17,8680,restaurant_click,2026-07-29 22:30:57,Returning,Bangalore,Web
62,18,7869,session_start,2026-03-02 12:38:00,Returning,Mumbai,iOS
63,18,7869,search,2026-03-02 12:38:30,Returning,Mumbai,iOS
64,18,7869,restaurant_click,2026-03-02 12:39:12,Returning,Mumbai,iOS
65,18,7869,add_to_cart,2026-03-02 12:40:17,Returning,Mumbai,iOS
66,18,7869,checkout_attempt,2026-03-02 12:43:32,Returning,Mumbai,iOS
67,18,7869,order_placed,2026-03-02 12:45:12,Returning,Mumbai,iOS
68,19,3034,session_start,2026-03-10 20:21:00,Returning,Mumbai,Android
69,19,3034,search,2026-03-10 20:21:33,Returning,Mumbai,Android
70,19,3034,restaurant_click,2026-03-10 20:21:30,Returning,Mumbai,Android
71,20,3617,session_start,2026-03-13 01:33:00,Power,Delhi NCR,iOS
72,20,3617,search,2026-03-13 01:33:19,Power,Delhi NCR,iOS
73,20,3617,restaurant_click,2026-03-13 01:34:47,Power,Delhi NCR,iOS
74,20,3617,add_to_cart,2026-03-13 01:37:55,Power,Delhi NCR,iOS
75,20,3617,checkout_attempt,2026-03-13 01:38:02,Power,Delhi NCR,iOS
76,20,3617,order_placed,2026-03-13 01:40:05,Power,Delhi NCR,iOS
77,21,3682,session_start,2026-03-03 07:27:00,Returning,Bangalore,Android
78,21,3682,search,2026-03-03 07:27:08,Returning,Bangalore,Android
79,21,3682,restaurant_click,2026-03-03 07:28:59,Returning,Bangalore,Android
80,22,2659,session_start,2026-05-29 15:50:00,Returning,Bangalore,iOS
81,22,2659,search,2026-05-29 15:50:36,Returning,Bangalore,iOS
82,22,2659,restaurant_click,2026-05-29 15:51:45,Returning,Bangalore,iOS
83,23,4344,session_start,2026-04-18 19:50:00,Returning,Delhi NCR,Android
84,23,4344,search,2026-04-18 19:50:16,Returning,Delhi NCR,Android
85,23,4344,restaurant_click,2026-04-18 19:51:19,Returning,Delhi NCR,Android
86,24,880,session_start,2026-05-24 09:20:00,Returning,Mumbai,iOS
87,24,880,search,2026-05-24 09:20:32,Returning,Mumbai,iOS
88,24,880,restaurant_click,2026-05-24 09:21:10,Returning,Mumbai,iOS
89,24,880,add_to_cart,2026-05-24 09:22:12,Returning,Mumbai,iOS
90,24,880,checkout_attempt,2026-05-24 09:26:28,Returning,Mumbai,iOS
91,24,880,order_placed,2026-05-24 09:27:27,Returning,Mumbai,iOS
92,25,136,session_start,2026-06-08 21:01:00,Returning,Ahmedabad,Android
93,25,136,search,2026-06-08 21:01:51,Returning,Ahmedabad,Android
94,25,136,restaurant_click,2026-06-08 21:02:54,Returning,Ahmedabad,Android
95,26,6616,session_start,2026-06-25 19:20:00,Power,Pune,Web
96,26,6616,search,2026-06-25 19:20:31,Power,Pune,Web
97,26,6616,restaurant_click,2026-06-25 19:20:39,Power,Pune,Web
98,26,6616,add_to_cart,2026-06-25 19:24:30,Power,Pune,Web
99,27,88,session_start,2026-06-20 23:49:00,Returning,Bangalore,Android
100,27,88,search,2026-06-20 23:49:21,Returning,Bangalore,Android
101,27,88,restaurant_click,2026-06-20 23:50:47,Returning,Bangalore,Android
102,27,88,add_to_cart,2026-06-20 23:52:13,Returning,Bangalore,Android
103,28,1088,session_start,2026-06-01 17:27:00,Returning,Bangalore,Android
104,28,1088,search,2026-06-01 17:27:10,Returning,Bangalore,Android
105,28,1088,restaurant_click,2026-06-01 17:27:40,Returning,Bangalore,Android
106,29,5018,session_start,2026-08-28 21:18:00,Power,Bangalore,Android
107,29,5018,search,2026-08-28 21:18:34,Power,Bangalore,Android
108,29,5018,restaurant_click,2026-08-28 21:19:26,Power,Bangalore,Android
109,29,5018,add_to_cart,2026-08-28 21:21:24,Power,Bangalore,Android
110,29,5018,checkout_attempt,2026-08-28 21:23:42,Power,Bangalore,Android
111,29,5018,order_placed,2026-08-28 21:26:38,Power,Bangalore,Android
112,30,4468,session_start,2026-06-06 09:22:00,Returning,Bangalore,iOS
113,30,4468,search,2026-06-06 09:22:21,Returning,Bangalore,iOS
114,30,4468,restaurant_click,2026-06-06 09:23:14,Returning,Bangalore,iOS
115,30,4468,add_to_cart,2026-06-06 09:25:17,Returning,Bangalore,iOS
116,30,4468,checkout_attempt,2026-06-06 09:27:49,Returning,Bangalore,iOS
117,30,4468,payment_failed,2026-06-06 09:29:13,Returning,Bangalore,iOS
118,31,7797,session_start,2026-03-15 09:59:00,Returning,Chennai,Android
119,32,2767,session_start,2026-03-12 20:49:00,Power,Chennai,Android
120,32,2767,search,2026-03-12 20:49:44,Power,Chennai,Android
121,32,2767,restaurant_click,2026-03-12 20:49:34,Power,Chennai,Android
122,33,4693,session_start,2026-08-29 19:32:00,Returning,Ahmedabad,Android
123,33,4693,search,2026-08-29 19:32:40,Returning,Ahmedabad,Android
124,33,4693,restaurant_click,2026-08-29 19:33:55,Returning,Ahmedabad,Android
125,34,1205,session_start,2026-06-04 22:37:00,Power,Delhi NCR,Android
126,35,6338,session_start,2026-04-02 20:56:00,Returning,Bangalore,iOS
127,35,6338,search,2026-04-02 20:56:27,Returning,Bangalore,iOS
128,35,6338,restaurant_click,2026-04-02 20:56:56,Returning,Bangalore,iOS
129,35,6338,add_to_cart,2026-04-02 20:58:13,Returning,Bangalore,iOS
130,35,6338,checkout_attempt,2026-04-02 21:02:04,Returning,Bangalore,iOS
131,35,6338,payment_failed,2026-04-02 21:03:26,Returning,Bangalore,iOS
132,36,4482,session_start,2026-07-20 13:04:00,Returning,Delhi NCR,iOS
133,36,4482,search,2026-07-20 13:04:59,Returning,Delhi NCR,iOS
134,36,4482,restaurant_click,2026-07-20 13:05:00,Returning,Delhi NCR,iOS
135,37,1191,session_start,2026-08-01 07:29:00,Returning,Chennai,Android
136,37,1191,search,2026-08-01 07:29:13,Returning,Chennai,Android
137,37,1191,restaurant_click,2026-08-01 07:30:53,Returning,Chennai,Android
138,38,7194,session_start,2026-05-22 22:18:00,Returning,Mumbai,Android
139,38,7194,search,2026-05-22 22:18:35,Returning,Mumbai,Android
